First Resource;Second Resource;Time difference between them
1-text/html;2-text/html;649.0
1-text/html;3-application/javascript;857.0
1-text/html;4-application/javascript;810.0
1-text/html;5-application/javascript;784.0
1-text/html;6-text/css;860.0
1-text/html;7-text/css;813.0
1-text/html;8-text/css;818.0
1-text/html;9-text/css;817.0
1-text/html;10-text/css;821.0
1-text/html;11-text/css;814.0
1-text/html;12-text/css;786.0
1-text/html;13-text/css;785.0
1-text/html;14-text/css;785.0
1-text/html;15-image/png;708.0
1-text/html;16-application/javascript;749.0
1-text/html;17-application/javascript;750.0
1-text/html;18-application/javascript;711.0
1-text/html;19-application/javascript;710.0
1-text/html;20-application/javascript;634.0
1-text/html;21-application/javascript;709.0
1-text/html;22-image/x-icon;220.0
2-text/html;3-application/javascript;208.0
2-text/html;4-application/javascript;161.0
2-text/html;5-application/javascript;135.0
2-text/html;6-text/css;211.0
2-text/html;7-text/css;164.0
2-text/html;8-text/css;169.0
2-text/html;9-text/css;168.0
2-text/html;10-text/css;172.0
2-text/html;11-text/css;165.0
2-text/html;12-text/css;137.0
2-text/html;13-text/css;136.0
2-text/html;14-text/css;136.0
2-text/html;15-image/png;59.0
2-text/html;16-application/javascript;100.0
2-text/html;17-application/javascript;101.0
2-text/html;18-application/javascript;62.0
2-text/html;19-application/javascript;61.0
2-text/html;20-application/javascript;15.0
2-text/html;21-application/javascript;60.0
2-text/html;22-image/x-icon;429.0
3-application/javascript;4-application/javascript;47.0
3-application/javascript;5-application/javascript;73.0
3-application/javascript;6-text/css;3.0
3-application/javascript;7-text/css;44.0
3-application/javascript;8-text/css;39.0
3-application/javascript;9-text/css;40.0
3-application/javascript;10-text/css;36.0
3-application/javascript;11-text/css;43.0
3-application/javascript;12-text/css;71.0
3-application/javascript;13-text/css;72.0
3-application/javascript;14-text/css;72.0
3-application/javascript;15-image/png;149.0
3-application/javascript;16-application/javascript;108.0
3-application/javascript;17-application/javascript;107.0
3-application/javascript;18-application/javascript;146.0
3-application/javascript;19-application/javascript;147.0
3-application/javascript;20-application/javascript;223.0
3-application/javascript;21-application/javascript;148.0
3-application/javascript;22-image/x-icon;637.0
4-application/javascript;5-application/javascript;26.0
4-application/javascript;6-text/css;50.0
4-application/javascript;7-text/css;3.0
4-application/javascript;8-text/css;8.0
4-application/javascript;9-text/css;7.0
4-application/javascript;10-text/css;11.0
4-application/javascript;11-text/css;4.0
4-application/javascript;12-text/css;24.0
4-application/javascript;13-text/css;25.0
4-application/javascript;14-text/css;25.0
4-application/javascript;15-image/png;102.0
4-application/javascript;16-application/javascript;61.0
4-application/javascript;17-application/javascript;60.0
4-application/javascript;18-application/javascript;99.0
4-application/javascript;19-application/javascript;100.0
4-application/javascript;20-application/javascript;176.0
4-application/javascript;21-application/javascript;101.0
4-application/javascript;22-image/x-icon;590.0
5-application/javascript;6-text/css;76.0
5-application/javascript;7-text/css;29.0
5-application/javascript;8-text/css;34.0
5-application/javascript;9-text/css;33.0
5-application/javascript;10-text/css;37.0
5-application/javascript;11-text/css;30.0
5-application/javascript;12-text/css;2.0
5-application/javascript;13-text/css;1.0
5-application/javascript;14-text/css;1.0
5-application/javascript;15-image/png;76.0
5-application/javascript;16-application/javascript;35.0
5-application/javascript;17-application/javascript;34.0
5-application/javascript;18-application/javascript;73.0
5-application/javascript;19-application/javascript;74.0
5-application/javascript;20-application/javascript;150.0
5-application/javascript;21-application/javascript;75.0
5-application/javascript;22-image/x-icon;564.0
6-text/css;7-text/css;47.0
6-text/css;8-text/css;42.0
6-text/css;9-text/css;43.0
6-text/css;10-text/css;39.0
6-text/css;11-text/css;46.0
6-text/css;12-text/css;74.0
6-text/css;13-text/css;75.0
6-text/css;14-text/css;75.0
6-text/css;15-image/png;152.0
6-text/css;16-application/javascript;111.0
6-text/css;17-application/javascript;110.0
6-text/css;18-application/javascript;149.0
6-text/css;19-application/javascript;150.0
6-text/css;20-application/javascript;226.0
6-text/css;21-application/javascript;151.0
6-text/css;22-image/x-icon;640.0
7-text/css;8-text/css;5.0
7-text/css;9-text/css;4.0
7-text/css;10-text/css;8.0
7-text/css;11-text/css;1.0
7-text/css;12-text/css;27.0
7-text/css;13-text/css;28.0
7-text/css;14-text/css;28.0
7-text/css;15-image/png;105.0
7-text/css;16-application/javascript;64.0
7-text/css;17-application/javascript;63.0
7-text/css;18-application/javascript;102.0
7-text/css;19-application/javascript;103.0
7-text/css;20-application/javascript;179.0
7-text/css;21-application/javascript;104.0
7-text/css;22-image/x-icon;593.0
8-text/css;9-text/css;1.0
8-text/css;10-text/css;3.0
8-text/css;11-text/css;4.0
8-text/css;12-text/css;32.0
8-text/css;13-text/css;33.0
8-text/css;14-text/css;33.0
8-text/css;15-image/png;110.0
8-text/css;16-application/javascript;69.0
8-text/css;17-application/javascript;68.0
8-text/css;18-application/javascript;107.0
8-text/css;19-application/javascript;108.0
8-text/css;20-application/javascript;184.0
8-text/css;21-application/javascript;109.0
8-text/css;22-image/x-icon;598.0
9-text/css;10-text/css;4.0
9-text/css;11-text/css;3.0
9-text/css;12-text/css;31.0
9-text/css;13-text/css;32.0
9-text/css;14-text/css;32.0
9-text/css;15-image/png;109.0
9-text/css;16-application/javascript;68.0
9-text/css;17-application/javascript;67.0
9-text/css;18-application/javascript;106.0
9-text/css;19-application/javascript;107.0
9-text/css;20-application/javascript;183.0
9-text/css;21-application/javascript;108.0
9-text/css;22-image/x-icon;597.0
10-text/css;11-text/css;7.0
10-text/css;12-text/css;35.0
10-text/css;13-text/css;36.0
10-text/css;14-text/css;36.0
10-text/css;15-image/png;113.0
10-text/css;16-application/javascript;72.0
10-text/css;17-application/javascript;71.0
10-text/css;18-application/javascript;110.0
10-text/css;19-application/javascript;111.0
10-text/css;20-application/javascript;187.0
10-text/css;21-application/javascript;112.0
10-text/css;22-image/x-icon;601.0
11-text/css;12-text/css;28.0
11-text/css;13-text/css;29.0
11-text/css;14-text/css;29.0
11-text/css;15-image/png;106.0
11-text/css;16-application/javascript;65.0
11-text/css;17-application/javascript;64.0
11-text/css;18-application/javascript;103.0
11-text/css;19-application/javascript;104.0
11-text/css;20-application/javascript;180.0
11-text/css;21-application/javascript;105.0
11-text/css;22-image/x-icon;594.0
12-text/css;13-text/css;1.0
12-text/css;14-text/css;1.0
12-text/css;15-image/png;78.0
12-text/css;16-application/javascript;37.0
12-text/css;17-application/javascript;36.0
12-text/css;18-application/javascript;75.0
12-text/css;19-application/javascript;76.0
12-text/css;20-application/javascript;152.0
12-text/css;21-application/javascript;77.0
12-text/css;22-image/x-icon;566.0
13-text/css;14-text/css;0.0
13-text/css;15-image/png;77.0
13-text/css;16-application/javascript;36.0
13-text/css;17-application/javascript;35.0
13-text/css;18-application/javascript;74.0
13-text/css;19-application/javascript;75.0
13-text/css;20-application/javascript;151.0
13-text/css;21-application/javascript;76.0
13-text/css;22-image/x-icon;565.0
14-text/css;15-image/png;77.0
14-text/css;16-application/javascript;36.0
14-text/css;17-application/javascript;35.0
14-text/css;18-application/javascript;74.0
14-text/css;19-application/javascript;75.0
14-text/css;20-application/javascript;151.0
14-text/css;21-application/javascript;76.0
14-text/css;22-image/x-icon;565.0
15-image/png;16-application/javascript;41.0
15-image/png;17-application/javascript;42.0
15-image/png;18-application/javascript;3.0
15-image/png;19-application/javascript;2.0
15-image/png;20-application/javascript;74.0
15-image/png;21-application/javascript;1.0
15-image/png;22-image/x-icon;488.0
16-application/javascript;17-application/javascript;1.0
16-application/javascript;18-application/javascript;38.0
16-application/javascript;19-application/javascript;39.0
16-application/javascript;20-application/javascript;115.0
16-application/javascript;21-application/javascript;40.0
16-application/javascript;22-image/x-icon;529.0
17-application/javascript;18-application/javascript;39.0
17-application/javascript;19-application/javascript;40.0
17-application/javascript;20-application/javascript;116.0
17-application/javascript;21-application/javascript;41.0
17-application/javascript;22-image/x-icon;530.0
18-application/javascript;19-application/javascript;1.0
18-application/javascript;20-application/javascript;77.0
18-application/javascript;21-application/javascript;2.0
18-application/javascript;22-image/x-icon;491.0
19-application/javascript;20-application/javascript;76.0
19-application/javascript;21-application/javascript;1.0
19-application/javascript;22-image/x-icon;490.0
20-application/javascript;21-application/javascript;75.0
20-application/javascript;22-image/x-icon;414.0
21-application/javascript;22-image/x-icon;489.0
