First Resource;Second Resource;Resource type;Time difference between them;Second Time difference between them;Median between them;Percentile 5 between them;Percentile 95 between them
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;1-https://abs.twimg.com/responsive-web/client-web/vendors~main.c1d6abe5.js;script;8.0;5.0;6.5;5.0;8.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;2-https://abs.twimg.com/responsive-web/client-web/i18n/pt.895d8b85.js;script;119.0;100.0;109.5;100.0;119.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;3-https://abs.twimg.com/responsive-web/client-web/main.217c2935.js;script;90.0;70.0;80.0;70.0;90.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;4-https://api.twitter.com/1.1/jot/client_event.json;other;10.0;33.0;21.5;10.0;33.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;5-https://twitter.com/sw.js;other;44.0;52.0;48.0;44.0;52.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;6-https://abs.twimg.com/responsive-web/client-serviceworker/serviceworker.9f88b0a5.js;other;180.0;170.0;175.0;170.0;180.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;7-https://abs.twimg.com/responsive-web/client-web/bundle.AboutThisAd.c3eb1ee5.js;fetch;221.0;209.0;215.0;209.0;221.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;8-https://twitter.com/home?precache=1;fetch;32.0;26.0;29.0;26.0;32.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;9-https://abs.twimg.com/responsive-web/client-web/bundle.Account.45709d15.js;fetch;197.0;193.0;195.0;193.0;197.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;10-https://abs.twimg.com/favicons/twitter.ico;other;216.0;215.0;215.5;215.0;216.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;11-https://abs.twimg.com/responsive-web/client-web/bundle.AdvancedSearch.c12adff5.js;fetch;204.0;192.0;198.0;192.0;204.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;12-https://api.twitter.com/1.1/onboarding/task.json?flow_name=signup;xhr;4.0;28.0;16.0;4.0;28.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;13-https://abs.twimg.com/responsive-web/client-web/bundle.Bookmarks.c39135f5.js;fetch;218.0;212.0;215.0;212.0;218.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;14-https://abs.twimg.com/responsive-web/client-web/bundle.Collection.fa9e3935.js;fetch;200.0;214.0;207.0;200.0;214.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;15-https://abs.twimg.com/responsive-web/client-web/bundle.Compose.2fd16585.js;fetch;198.0;213.0;205.5;198.0;213.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;16-https://abs.twimg.com/responsive-web/client-web/icon-default.3c3b2245.png;other;221.0;212.0;216.5;212.0;221.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;17-https://abs.twimg.com/responsive-web/client-web/bundle.ComposeMedia.f1662755.js;fetch;199.0;194.0;196.5;194.0;199.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;18-https://abs.twimg.com/responsive-web/client-web/bundle.ConnectTab.b17793f5.js;fetch;213.0;214.0;213.5;213.0;214.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;19-https://api.twitter.com/1.1/account/personalization/p13n_preferences.json;other;183.0;179.0;181.0;179.0;183.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;20-https://api.twitter.com/1.1/account/personalization/sync_optout_settings.json;other;184.0;177.0;180.5;177.0;184.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;21-https://abs.twimg.com/responsive-web/client-web/bundle.Conversation.3f314b95.js;fetch;198.0;190.0;194.0;190.0;198.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;22-https://abs.twimg.com/responsive-web/client-web/bundle.ConversationParticipants.50512225.js;fetch;196.0;193.0;194.5;193.0;196.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;23-https://abs.twimg.com/responsive-web/client-web/bundle.DMRichTextCompose.1ecb3185.js;fetch;217.0;180.0;198.5;180.0;217.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;24-https://abs.twimg.com/responsive-web/client-web/bundle.DirectMessages.7929f015.js;fetch;191.0;190.0;190.5;190.0;191.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;25-https://abs.twimg.com/responsive-web/client-web/bundle.Display.81a6a0f5.js;fetch;202.0;184.0;193.0;184.0;202.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;26-https://abs.twimg.com/responsive-web/client-web/bundle.Download.528e10b5.js;fetch;216.0;197.0;206.5;197.0;216.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;27-https://abs.twimg.com/responsive-web/client-web/bundle.Explore.160c2605.js;fetch;212.0;196.0;204.0;196.0;212.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;28-https://abs.twimg.com/responsive-web/client-web/bundle.ExploreTopics.08332ba5.js;fetch;215.0;208.0;211.5;208.0;215.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;29-https://abs.twimg.com/responsive-web/client-web/bundle.FollowerRequests.93dcf555.js;fetch;200.0;208.0;204.0;200.0;208.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;30-https://abs.twimg.com/responsive-web/client-web/bundle.GenericTimeline.8898c485.js;fetch;202.0;210.0;206.0;202.0;210.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;31-https://abs.twimg.com/responsive-web/client-web/bundle.GifSearch.860d5a25.js;fetch;200.0;208.0;204.0;200.0;208.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;32-https://abs.twimg.com/responsive-web/client-web/bundle.HomeTimeline.47591f45.js;fetch;202.0;188.0;195.0;188.0;202.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;33-https://abs.twimg.com/responsive-web/client-web/bundle.KeyboardShortcuts.4b89a7b5.js;fetch;201.0;213.0;207.0;201.0;213.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;34-https://abs.twimg.com/responsive-web/client-web/bundle.LiveEvent.0ef98e55.js;fetch;198.0;190.0;194.0;190.0;198.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;35-https://abs.twimg.com/responsive-web/client-web/bundle.LoggedOutHome.64591565.js;fetch;202.0;192.0;197.0;192.0;202.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;36-https://abs.twimg.com/responsive-web/client-web/bundle.Login.c10dc445.js;fetch;197.0;195.0;196.0;195.0;197.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;37-https://abs.twimg.com/responsive-web/client-web/bundle.Logout.5d1a8925.js;fetch;214.0;212.0;213.0;212.0;214.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;38-https://abs.twimg.com/responsive-web/client-web/bundle.Moment.28e17375.js;fetch;216.0;211.0;213.5;211.0;216.0
0-https://abs.twimg.com/responsive-web/client-web/polyfills.5f1c07c5.js;39-https://abs.twimg.com/responsive-web/client-web/bundle.MomentMaker.5fae57b5.js;fetch;128.0;141.0;134.5;128.0;141.0
