First Resource;Second Resource;Resource type;Median between them;Percentile 5 between them;Percentile 95 between them;Resource Probability
0-https://edition.cnn.com/account/register;1-https://edition.cnn.com/optimizelyjs/128727546.js;Script;335.0;292.0;686.0;100.0
0-https://edition.cnn.com/account/register;2-https://www.i.cdn.cnn.com/.a/fonts/cnn/3.9.0/cnnsans-regular.woff2;Font;334.0;5.0;686.0;100.0
0-https://edition.cnn.com/account/register;3-https://www.i.cdn.cnn.com/.a/fonts/cnn/3.9.0/cnnsans-bold.woff2;Font;277.0;189.0;608.0;100.0
0-https://edition.cnn.com/account/register;4-https://www.i.cdn.cnn.com/.a/fonts/cnn/3.9.0/cnnsans-medium.woff2;Font;277.0;189.0;599.0;100.0
0-https://edition.cnn.com/account/register;5-https://cdn.cookielaw.org/consent/3d9a6f21-8e47-43f8-8d58-d86150f3e92b/3d9a6f21-8e47-43f8-8d58-d86150f3e92b.json;XHR;150.0;-761.0;518.0;100.0
0-https://edition.cnn.com/account/register;6-https://www.i.cdn.cnn.com/.a/fonts/cnn/3.9.0/cnnsans-light.woff2;Font;354.0;281.0;687.0;100.0
0-https://edition.cnn.com/account/register;7-https://cdn.cookielaw.org/consent/3d9a6f21-8e47-43f8-8d58-d86150f3e92b/bf258aac-245a-4988-ad6d-a12bde690527/en.json;Fetch;356.0;298.0;702.0;100.0
0-https://edition.cnn.com/account/register;8-https://cdn.cookielaw.org/scripttemplates/6.4.0/assets/otFlat.json;Fetch;365.0;294.0;696.0;100.0
0-https://edition.cnn.com/account/register;9-https://cdn.cookielaw.org/scripttemplates/6.4.0/assets/otPcCenter.json;Fetch;355.0;249.0;662.0;100.0
0-https://edition.cnn.com/account/register;10-https://cdn.cookielaw.org/scripttemplates/6.4.0/assets/otCookieSettingsButton.json;Fetch;348.0;248.0;663.0;100.0
0-https://edition.cnn.com/account/register;11-https://logx.optimizely.com/v1/events;XHR;-691.5;-854.0;679.0;100.0
0-https://edition.cnn.com/account/register;12-https://cdn.cookielaw.org/vendorlist/iab2Data.json;XHR;357.0;306.0;694.0;100.0
0-https://edition.cnn.com/account/register;13-https://edition.cnn.com/favicon.ico;Other;345.0;277.0;687.0;100.0
0-https://edition.cnn.com/account/register;14-https://privacyportal-eu.onetrust.com/request/v1/consentreceipts;XHR;78.5;-56.0;175.0;100.0
0-https://edition.cnn.com/account/register;15-https://dpm.demdex.net/id?d_visid_ver=4.4.1&d_fieldgroup=MC&d_rtbd=json&d_ver=2&d_orgid=7FF852E2556756057F000101%40AdobeOrg&d_nsid=0&ts=1603405678606;XHR;565.0;565.0;565.0;100.0
0-https://edition.cnn.com/account/register;16-https://api.segment.io/v1/t;XHR;190.5;105.0;236.0;100.0
0-https://edition.cnn.com/account/register;17-https://smetrics.cnn.com/id?d_visid_ver=4.4.1&d_fieldgroup=A&mcorgid=7FF852E2556756057F000101%40AdobeOrg&mid=86357508036163891910681711633058864184&ts=1603405679082;XHR;189.0;189.0;189.0;100.0
0-https://edition.cnn.com/account/register;18-https://dpm.demdex.net/id?d_visid_ver=4.4.1&d_fieldgroup=AAM&d_rtbd=json&d_ver=2&d_orgid=7FF852E2556756057F000101%40AdobeOrg&d_nsid=0&d_mid=86357508036163891910681711633058864184&d_blob=6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y&d_cid_ic=AVID%012FC903B705159F95-400008BE9F6E461A&ts=1603405679427;XHR;301.0;301.0;301.0;100.0
0-https://edition.cnn.com/account/register;19-https://dpm.demdex.net/id?d_visid_ver=4.4.1&d_fieldgroup=MC&d_rtbd=json&d_ver=2&d_orgid=7FF852E2556756057F000101%40AdobeOrg&d_nsid=0&ts=1603405967834;XHR;356.0;356.0;356.0;100.0
